#1.25*8**0.26*1e-9*exp(14.9155 -0.330077*log(x)**2)/x**4.81942  (in mb GeV^-2)
0.2     6.4083e9
0.4     4.04499e8
0.6     6.93759e7
0.8     1.85928e7
1.      6.44811e6
1.2     2.64887e6
1.4     1.2273e6
1.6     622338.
1.8     338564.
2.      194881.
2.2     117500.
2.4     73648.6
2.6     47711.4
2.8     31799.6
3.      21725.4
3.2     15169.1
3.4     10797.6
3.6     7819.32
3.8     5750.8
4.      4289.04
4.2     3239.71
4.4     2475.64
4.6     1911.98
4.8     1491.16
5.      1173.5
5.2     931.267
5.4     744.799
5.6     599.994
5.8     486.62
6.      397.175
6.2     326.102
6.4     269.246
6.6     223.476
6.8     186.409
7.      156.223
7.2     131.508
7.4     111.17
7.6     94.3552
7.8     80.3891
8.      68.7391
8.2     58.981
8.4     50.7756
8.6     43.8498
8.8     37.9831
9.      32.9966
9.2     28.7443
9.4     25.1067
9.6     21.9854
9.8     19.2995
10.     16.9817
10.2    14.9763
10.4    13.2367
10.6    11.7238
10.8    10.405
11.     9.25278
11.2    8.24375
11.4    7.35824
11.6    6.57952
11.8    5.89333
12.     5.28749
12.2    4.75157
12.4    4.27665
12.6    3.85504
12.8    3.48009
13.     3.1461
13.2    2.84811
13.4    2.58182
13.6    2.34348
13.8    2.12986
14.     1.9381
14.2    1.76574
14.4    1.61059
14.6    1.47076
14.8    1.34456
15.     1.23052
15.2    1.12734
15.4    1.03389
15.6    0.94913
15.8    0.872178
16.     0.802234
16.2    0.73859
16.4    0.680617
16.6    0.627754
16.8    0.579504
17.     0.535418
17.2    0.4951
17.4    0.458191
17.6    0.424373
17.8    0.393358
18.     0.364889
18.2    0.338734
18.4    0.314684
18.6    0.292552
18.8    0.272169
19.     0.25338
19.2    0.236048
19.4    0.220047
19.6    0.205264
19.8    0.191597
20.     0.178951
